,genre,popularity,key,mode
192193,0,20,0,0
192194,0,64,5,0
192195,0,67,6,0
192196,0,58,10,0
192197,0,63,1,1
192198,0,67,7,0
192199,0,63,8,0
192200,0,63,2,0
192201,0,63,7,0
192202,0,62,6,0
192203,0,61,9,0
192204,0,60,8,1
192205,0,64,6,0
192206,0,62,1,0
192207,0,58,7,0
192208,0,71,4,0
192209,0,73,10,0
192210,0,68,6,1
192211,0,61,9,0
192212,0,60,9,1
192213,0,65,5,1
192214,0,66,1,0
192215,0,60,0,0
192216,0,59,9,1
192217,0,63,4,0
192218,0,68,3,1
192219,0,59,10,1
192220,0,62,11,1
192221,0,66,10,0
192222,0,65,4,1
192223,0,66,11,1
192224,0,64,9,0
192225,0,63,4,0
192226,0,61,0,0
192227,0,66,10,1
192228,0,63,6,1
192229,0,71,11,0
192230,0,65,5,1
192231,0,62,11,1
192232,0,65,8,1
192233,0,67,0,1
192234,0,64,0,0
192235,0,64,10,1
192236,0,65,2,1
192237,0,65,0,0
192238,0,61,1,0
192239,0,60,10,1
192240,0,66,2,0
192241,0,67,9,1
192242,0,62,7,1
192243,0,66,6,0
192244,0,68,2,1
192245,0,63,11,0
192246,0,66,6,1
192247,0,69,2,1
192248,0,73,5,1
192249,0,68,10,0
192250,0,64,7,0
192251,0,62,7,0
192252,0,67,9,0
192253,0,64,2,0
192254,0,69,0,1
192255,0,64,9,1
192256,0,62,8,0
192257,0,65,7,1
192258,0,67,5,1
192259,0,63,6,0
192260,0,65,9,0
192261,0,69,7,0
192262,0,64,9,1
192263,0,68,9,1
192264,0,66,1,1
192265,0,60,0,0
192266,0,67,2,1
192267,0,62,4,0
192268,0,63,7,0
192269,0,64,0,0
192270,0,65,1,0
192271,0,60,11,0
192272,0,68,6,1
192273,0,67,1,0
192274,0,64,0,0
192275,0,62,3,1
192276,0,64,4,0
192277,0,64,0,0
192278,0,63,7,1
192279,0,67,6,0
192280,0,63,6,1
192281,0,65,8,1
192282,0,60,9,0
192283,0,59,0,0
192284,0,64,9,1
192285,0,61,10,1
192286,0,65,6,0
192287,0,65,0,0
192288,0,59,7,1
192289,0,68,4,1
192290,0,67,6,1
192291,0,66,5,0
192292,0,67,11,1
192293,0,60,8,1
